DATE SYMBOL CUSIP
2020-07-29 FXA 46090N103
2020-07-29 HIBS 25460E331
2020-07-29 HSMV 33741Y100
2020-07-29 IDRV 46435U366
2020-07-29 LCR 527289789
2020-07-29 MARB 33740J203
2020-07-29 ONLN 74347B169
2020-07-29 PHDG 46090A705
2020-07-29 SGDJ 85210B201
2020-07-29 SPSK 886364702
2020-07-29 TMF 25459W540
2020-07-29 TRND 69374H675
2020-07-29 UWM 74347R842
2020-07-29 VAL G9402V109
2020-07-29 WEBS 25460E356
2020-07-29 WFH 25460G773
2020-07-29 XBUY 032108870
2020-07-29 ZSL 74347W114
2020-07-30 AAAU 715426102
2020-07-30 ASM 053906103
2020-07-30 CQQQ 46138E800
2020-07-30 FXA 46090N103
2020-07-30 HIBS 25460E331
2020-07-30 HSMV 33741Y100
2020-07-30 IDRV 46435U366
2020-07-30 IHY 92189F445
2020-07-30 LCR 527289789
2020-07-30 MARB 33740J203
2020-07-30 MVV 74347R404
2020-07-30 ONLN 74347B169
2020-07-30 PHDG 46090A705
2020-07-30 SGDJ 85210B201
2020-07-30 TMF 25459W540
2020-07-30 TRND 69374H675
2020-07-30 UWM 74347R842
2020-07-30 WEBS 25460E356
2020-07-30 WFH 25460G773
2020-07-30 XBUY 032108870
2020-07-30 ZSL 74347W114
2020-07-31 AAAU 715426102
2020-07-31 ASM 053906103
2020-07-31 CQQQ 46138E800
2020-07-31 FISR 78470P507
2020-07-31 FXA 46090N103
2020-07-31 HIBS 25460E331
2020-07-31 HSMV 33741Y100
2020-07-31 IDRV 46435U366
2020-07-31 IHY 92189F445
2020-07-31 MARB 33740J203
2020-07-31 MVV 74347R404
2020-07-31 PHDG 46090A705
2020-07-31 TMF 25459W540
2020-07-31 TRND 69374H675
2020-07-31 UGL 74347W601
2020-07-31 UWM 74347R842
2020-07-31 WEBS 25460E356
2020-07-31 WFH 25460G773
2020-07-31 XBUY 032108870
2020-07-31 ZSL 74347W114
2020-08-03 AAAU 715426102
2020-08-03 ASM 053906103
2020-08-03 CQQQ 46138E800
2020-08-03 DNL 97717W844
2020-08-03 EB 29975E109
2020-08-03 ENSV 29358Y102
2020-08-03 FISR 78470P507
2020-08-03 FXA 46090N103
2020-08-03 HIBS 25460E331
2020-08-03 HSMV 33741Y100
2020-08-03 IDRV 46435U366
2020-08-03 IHY 92189F445
2020-08-03 MVV 74347R404
2020-08-03 PHDG 46090A705
2020-08-03 TMF 25459W540
2020-08-03 TRND 69374H675
2020-08-03 UGL 74347W601
2020-08-03 UWM 74347R842
2020-08-03 WEBS 25460E356
2020-08-03 XBUY 032108870
2020-08-03 ZSL 74347W114
2020-08-04 AAAU 715426102
2020-08-04 ASM 053906103
2020-08-04 CQQQ 46138E800
2020-08-04 DNL 97717W844
2020-08-04 EB 29975E109
2020-08-04 ENSV 29358Y102
2020-08-04 FISR 78470P507
2020-08-04 FXA 46090N103
2020-08-04 HIBS 25460E331
2020-08-04 HSMV 33741Y100
2020-08-04 IDRV 46435U366
2020-08-04 IHY 92189F445
2020-08-04 MVV 74347R404
2020-08-04 PHDG 46090A705
2020-08-04 TMF 25459W540
2020-08-04 UGL 74347W601
2020-08-04 WEBS 25460E356
2020-08-04 XBUY 032108870
2020-08-04 ZSL 74347W114
2020-08-05 AAAU 715426102
2020-08-05 ASM 053906103
2020-08-05 CQQQ 46138E800
2020-08-05 DNL 97717W844
2020-08-05 EB 29975E109
2020-08-05 ENSV 29358Y102
2020-08-05 FISR 78470P507
2020-08-05 FXA 46090N103
2020-08-05 HIBS 25460E331
2020-08-05 HSMV 33741Y100
2020-08-05 IDRV 46435U366
2020-08-05 IHY 92189F445
2020-08-05 MVV 74347R404
2020-08-05 PHDG 46090A705
2020-08-05 PTIN 69374H683
2020-08-05 TMF 25459W540
2020-08-05 UGL 74347W601
2020-08-05 WEBS 25460E356
2020-08-05 XBUY 032108870
2020-08-05 ZSL 74347W114
2020-08-06 AAAU 715426102
2020-08-06 ASM 053906103
2020-08-06 CQQQ 46138E800
2020-08-06 DNL 97717W844
2020-08-06 EB 29975E109
2020-08-06 ENSV 29358Y102
2020-08-06 FISR 78470P507
2020-08-06 FXA 46090N103
2020-08-06 HIBS 25460E331
2020-08-06 HSMV 33741Y100
2020-08-06 IDRV 46435U366
2020-08-06 IHY 92189F445
2020-08-06 PHDG 46090A705
2020-08-06 PTIN 69374H683
2020-08-06 THD 464286624
2020-08-06 TMF 25459W540
